2220,0,0,0,0,0,0,0,0
-4.058,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0
2198,0,0,0,0,0,0,0,0
-5.021,0,0,0,0,0,0,0,0
0.034,0,0,0,0,0,0,0,0
2205,0,0,0,0,0,0,0,0
-5.001,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0
2218,0,0,0,0,0,0,0,0
-4.064,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
2204,0,0,0,0,0,0,0,0
-5.004,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0,0
-4.092,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
2196,0,0,0,0,0,0,0,0
-5.027,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0
2197,0,0,0,0,0,0,0,0
-5.024,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
2202,0,0,0,0,0,0,0,0
-5.009,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
2195,0,0,0,0,0,0,0,0
-5.029,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
2198,0,0,0,0,0,0,0,0
-5.021,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,0
-5.015,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
2197,0,0,0,0,0,0,0,0
-5.024,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
2212,0,0,0,0,0,0,0,0
-4.081,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0
-12.046,0,0,0,0,0,0,0,0
0.084,0,0,0,0,0,0,0,0
2146,0,0,0,0,0,0,0,0
-6.07,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0
-11.045,0,0,0,0,0,0,0,0
0.045,0,0,0,0,0,0,0,0
2196,0,0,0,0,0,0,0,0
-5.027,0,0,0,0,0,0,0,0
0.041,0,0,0,0,0,0,0,0
2185,0,0,0,0,0,0,0,0
-5.058,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0
2125,0,0,0,0,0,0,0,0
-7.03,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0
2181,0,0,0,0,0,0,0,0
-5.07,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0
2142,0,0,0,0,0,0,0,0
-6.081,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0
2155,0,0,0,0,0,0,0,0
-6.044,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0,0
-4.092,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0
2193,0,0,0,0,0,0,0,0
-5.035,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0,0
-4.092,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0
2212,0,0,0,0,0,0,0,0
-4.081,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0
2201,0,0,0,0,0,0,0,0
-5.012,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0
2104,0,0,0,0,0,0,0,0
-7.09,0,0,0,0,0,0,0,0
0.033,0,0,0,0,0,0,0,0
2205,0,0,0,0,0,0,0,0
-5.001,0,0,0,0,0,0,0,0
